game_id,elo_bot,elo_player_a,elo_player_b,bot_position,1st_points,2nd_points,3rd_points
157332576,100,204,139,3,53,50,42
157332378,115,100,77,1,49,44,37
157340790,114,1,186,2,54,43,40
157346593,101,130,210,3,56,42,39
157344236,100,209,178,3,64,38,35
157340428,100,112,174,3,65,57,54
157353420,102,170,121,2,67,51,47
157358426,100,27,171,3,53,33,31
157351297,112,27,47,1,59,49,45
157350099,100,131,116,3,50,45,32
