game_id,elo_bot,elo_player_a,elo_player_b,bot_position,1st_points,2nd_points,3rd_points
157371020,100,117,175,3,55,54,32
157374171,100,55,51,3,48,47,44
157377653,100,206,182,3,69,45,38
157378774,100,100,126,3,55,49,31
157377046,100,126,178,3,47,46,31
157374357,100,119,139,3,55,53,37
157375198,100,220,195,3,59,43,41
157387240,100,36,142,3,58,55,31
157382542,100,173,158,3,58,46,30
157385843,100,192,116,3,60,45,36
